2024-04-10 14:05:20 status half-installed findutils:armhf 4.8.0-1ubuntu3
2024-04-10 14:05:20 status unpacked findutils:armhf 4.8.0-1ubuntu3
2024-04-10 14:05:20 install gcc-12-base:armhf <none> 12-20220319-1ubuntu1
2024-04-10 14:05:20 status half-installed gcc-12-base:armhf 12-20220319-1ubuntu1
2024-04-10 14:05:20 status unpacked gcc-12-base:armhf 12-20220319-1ubuntu1
2024-04-10 14:05:20 install grep:armhf <none> 3.7-1build1
2024-04-10 14:05:20 status half-installed grep:armhf 3.7-1build1
2024-04-10 14:05:20 status unpacked grep:armhf 3.7-1build1
2024-04-10 14:05:20 install gzip:armhf <none> 1.10-4ubuntu4
2024-04-10 14:05:20 status half-installed gzip:armhf 1.10-4ubuntu4
2024-04-10 14:05:20 status unpacked gzip:armhf 1.10-4ubuntu4
2024-04-10 14:05:20 install hostname:armhf <none> 3.23ubuntu2
2024-04-10 14:05:20 status half-installed hostname:armhf 3.23ubuntu2
2024-04-10 14:05:20 status unpacked hostname:armhf 3.23ubuntu2
2024-04-10 14:05:20 install init-system-helpers:all <none> 1.62
2024-04-10 14:05:20 status half-installed init-system-helpers:all 1.62
2024-04-10 14:05:20 status unpacked init-system-helpers:all 1.62
2024-04-10 14:05:20 install libacl1:armhf <none> 2.3.1-1
2024-04-10 14:05:20 status half-installed libacl1:armhf 2.3.1-1
2024-04-10 14:05:20 status unpacked libacl1:armhf 2.3.1-1
2024-04-10 14:05:20 install libattr1:armhf <none> 1:2.5.1-1build1
2024-04-10 14:05:20 status half-installed libattr1:armhf 1:2.5.1-1build1
2024-04-10 14:05:20 status unpacked libattr1:armhf 1:2.5.1-1build1
2024-04-10 14:05:20 install libaudit-common:all <none> 1:3.0.7-1build1
2024-04-10 14:05:20 status half-installed libaudit-common:all 1:3.0.7-1build1
2024-04-10 14:05:20 status unpacked libaudit-common:all 1:3.0.7-1build1
2024-04-10 14:05:20 install libaudit1:armhf <none> 1:3.0.7-1build1
2024-04-10 14:05:20 status half-installed libaudit1:armhf 1:3.0.7-1build1
2024-04-10 14:05:20 status unpacked libaudit1:armhf 1:3.0.7-1build1
2024-04-10 14:05:20 install libblkid1:armhf <none> 2.37.2-4ubuntu3
2024-04-10 14:05:20 status half-installed libblkid1:armhf 2.37.2-4ubuntu3
2024-04-10 14:05:20 status unpacked libblkid1:armhf 2.37.2-4ubuntu3
2024-04-10 14:05:20 install libbz2-1.0:armhf <none> 1.0.8-5build1
2024-04-10 14:05:20 status half-installed libbz2-1.0:armhf 1.0.8-5build1
2024-04-10 14:05:20 status unpacked libbz2-1.0:armhf 1.0.8-5build1
2024-04-10 14:05:20 install libc-bin:armhf <none> 2.35-0ubuntu3
2024-04-10 14:05:20 status half-installed libc-bin:armhf 2.35-0ubuntu3
2024-04-10 14:05:20 status unpacked libc-bin:armhf 2.35-0ubuntu3
2024-04-10 14:05:20 upgrade libc6:armhf 2.35-0ubuntu3 2.35-0ubuntu3
2024-04-10 14:05:20 status half-configured libc6:armhf 2.35-0ubuntu3
2024-04-10 14:05:20 status unpacked libc6:armhf 2.35-0ubuntu3
2024-04-10 14:05:20 status half-installed libc6:armhf 2.35-0ubuntu3
2024-04-10 14:05:20 status unpacked libc6:armhf 2.35-0ubuntu3
2024-04-10 14:05:20 install libcap-ng0:armhf <none> 0.7.9-2.2build3
2024-04-10 14:05:20 status half-installed libcap-ng0:armhf 0.7.9-2.2build3
2024-04-10 14:05:20 status unpacked libcap-ng0:armhf 0.7.9-2.2build3
2024-04-10 14:05:20 install libcap2:armhf <none> 1:2.44-1build3
2024-04-10 14:05:20 status half-installed libcap2:armhf 1:2.44-1build3
2024-04-10 14:05:20 status unpacked libcap2:armhf 1:2.44-1build3
2024-04-10 14:05:20 install libcom-err2:armhf <none> 1.46.5-2ubuntu1
2024-04-10 14:05:20 status half-installed libcom-err2:armhf 1.46.5-2ubuntu1
2024-04-10 14:05:20 status unpacked libcom-err2:armhf 1.46.5-2ubuntu1
2024-04-10 14:05:20 install libcrypt1:armhf <none> 1:4.4.27-1
2024-04-10 14:05:20 status half-installed libcrypt1:armhf 1:4.4.27-1
2024-04-10 14:05:20 status unpacked libcrypt1:armhf 1:4.4.27-1
2024-04-10 14:05:20 install libdb5.3:armhf <none> 5.3.28+dfsg1-0.8ubuntu3
2024-04-10 14:05:20 status half-installed libdb5.3:armhf 5.3.28+dfsg1-0.8ubuntu3
2024-04-10 14:05:20 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.8ubuntu3
2024-04-10 14:05:20 install libdebconfclient0:armhf <none> 0.261ubuntu1
2024-04-10 14:05:20 status half-installed libdebconfclient0:armhf 0.261ubuntu1
2024-04-10 14:05:20 status unpacked libdebconfclient0:armhf 0.261ubuntu1
2024-04-10 14:05:20 install libext2fs2:armhf <none> 1.46.5-2ubuntu1
2024-04-10 14:05:20 status half-installed libext2fs2:armhf 1.46.5-2ubuntu1
2024-04-10 14:05:20 status unpacked libext2fs2:armhf 1.46.5-2ubuntu1
2024-04-10 14:05:20 install libgcc-s1:armhf <none> 12-20220319-1ubuntu1
2024-04-10 14:05:20 status half-installed libgcc-s1:armhf 12-20220319-1ubuntu1
2024-04-10 14:05:20 status unpacked libgcc-s1:armhf 12-20220319-1ubuntu1
2024-04-10 14:05:20 install libgcrypt20:armhf <none> 1.9.4-3ubuntu3
2024-04-10 14:05:20 status half-installed libgcrypt20:armhf 1.9.4-3ubuntu3
2024-04-10 14:05:20 status unpacked libgcrypt20:armhf 1.9.4-3ubuntu3
2024-04-10 14:05:20 install libgmp10:armhf <none> 2:6.2.1+dfsg-3ubuntu1
2024-04-10 14:05:20 status half-installed libgmp10:armhf 2:6.2.1+dfsg-3ubuntu1
2024-04-10 14:05:20 status unpacked libgmp10:armhf 2:6.2.1+dfsg-3ubuntu1
2024-04-10 14:05:20 install libgpg-error0:armhf <none> 1.43-3
2024-04-10 14:05:20 status half-installed libgpg-error0:armhf 1.43-3
2024-04-10 14:05:20 status unpacked libgpg-error0:armhf 1.43-3
2024-04-10 14:05:20 install libgssapi-krb5-2:armhf <none> 1.19.2-2
2024-04-10 14:05:20 status half-installed libgssapi-krb5-2:armhf 1.19.2-2
2024-04-10 14:05:20 status unpacked libgssapi-krb5-2:armhf 1.19.2-2
2024-04-10 14:05:20 install libk5crypto3:armhf <none> 1.19.2-2
2024-04-10 14:05:20 status half-installed libk5crypto3:armhf 1.19.2-2
2024-04-10 14:05:20 status unpacked libk5crypto3:armhf 1.19.2-2
2024-04-10 14:05:20 install libkeyutils1:armhf <none> 1.6.1-2ubuntu3
2024-04-10 14:05:20 status half-installed libkeyutils1:armhf 1.6.1-2ubuntu3
2024-04-10 14:05:20 status unpacked libkeyutils1:armhf 1.6.1-2ubuntu3
2024-04-10 14:05:20 install libkrb5-3:armhf <none> 1.19.2-2
2024-04-10 14:05:20 status half-installed libkrb5-3:armhf 1.19.2-2
2024-04-10 14:05:20 status unpacked libkrb5-3:armhf 1.19.2-2
2024-04-10 14:05:20 install libkrb5support0:armhf <none> 1.19.2-2
2024-04-10 14:05:20 status half-installed libkrb5support0:armhf 1.19.2-2
2024-04-10 14:05:20 status unpacked libkrb5support0:armhf 1.19.2-2
2024-04-10 14:05:20 install liblz4-1:armhf <none> 1.9.3-2build2
2024-04-10 14:05:20 status half-installed liblz4-1:armhf 1.9.3-2build2
2024-04-10 14:05:20 status unpacked liblz4-1:armhf 1.9.3-2build2
2024-04-10 14:05:20 install liblzma5:armhf <none> 5.2.5-2ubuntu1
2024-04-10 14:05:20 status half-installed liblzma5:armhf 5.2.5-2ubuntu1
2024-04-10 14:05:20 status unpacked liblzma5:armhf 5.2.5-2ubuntu1
2024-04-10 14:05:20 install libmount1:armhf <none> 2.37.2-4ubuntu3
2024-04-10 14:05:20 status half-installed libmount1:armhf 2.37.2-4ubuntu3
2024-04-10 14:05:20 status unpacked libmount1:armhf 2.37.2-4ubuntu3
